Time Step,Objective
1135,2224607.2209684565
1136,2307920.051069212
1137,2222078.866323567
1138,2202908.8474736535
1139,2212009.516283583
1140,2157334.73039172
1141,2156404.0030725193
1142,2116554.8435957623
1143,2114791.4292512364
1144,2085020.6650354164
1145,2222547.9058913034
1146,2413068.584853516
1147,2331458.822660862
1148,2160006.267543388
1149,2120352.775677586
1150,2016475.8840017195
1151,1807364.4756891422
1152,1575401.224747834
1153,1456390.799694977
1154,1342985.9871611912
1155,1272609.655386448
1156,1269277.8326073017
1157,1221396.4933073835
1158,1211627.655601485
1159,1314826.9541117977
1160,1411582.9792836732
1161,1393240.9131538442
1162,1329226.5307721014
1163,1262824.8587188139
1164,1187041.0859941912
1165,1165530.1456403427
1166,1032833.2723037549
1167,1059312.6686253564
1168,1169038.126535616
1169,1362475.881338018
1170,1537821.7370500455
1171,1459101.2947630722
1172,1307359.0392397682
1173,1265467.4077956725
1174,1263348.2597379796
1175,1148336.0163488213
1176,1080990.5912901603
1177,1049890.883505426
1178,1004876.4631163175
1179,993127.4486193861
1180,1001184.0645717828
1181,971382.0684606275
1182,903678.6504342754
1183,929425.2144560894
1184,993506.2310074221
1185,970563.0323745909
1186,898195.7260450837
1187,862978.4673582178
1188,876316.5791642965
1189,859951.1029733474
1190,895644.9071143715
1191,1009342.3775370897
1192,1134318.103937728
1193,1299218.1221049223
1194,1579790.8773267607
1195,1571131.9298068564
1196,1505921.5367273362
1197,1529455.99028968
1198,1591620.7494503406
1199,1497406.9031766583
1200,1351268.7815041582
1201,1255369.283883398
1202,1215252.722539236
1203,1235280.5367974557
1204,1280780.0608028038
1205,1296670.9170134417
1206,1504145.329050623
1207,1673670.8266393528
1208,1693653.4372564775
1209,1624545.4583524372
1210,1546385.2745199918
1211,1501943.2808919388
1212,1436448.6253293853
1213,1414016.109420194
1214,1460602.6918093774
1215,1569667.544111646
1216,1701758.222445286
1217,1844152.897796018
1218,2107760.8025741233
1219,2112700.329937772
1220,2003961.3902750409
1221,1976136.6464603848
1222,1889069.2009944736
1223,1688423.2081279147
1224,1506210.6812785002
1225,1369442.6646576826
1226,1322447.1277474351
1227,1306010.745786298
1228,1348969.148217614
1229,1461109.0375156552
1230,1711623.6716302442
1231,1867779.4593694306
1232,1907857.2869855862
1233,1777832.7192432373
1234,1686756.1951945806
1235,1634198.9244663594
1236,1599345.4126277126
1237,1624419.3300078083
1238,1641103.074817274
1239,1803248.8305604595
1240,1906308.388133592
1241,2000490.9863574442
1242,2238526.198223878
1243,2199103.0791536286
1244,2073963.8377051316
1245,1988993.0472364891
1246,1855597.4716008655
1247,1658647.376485915
1248,1490307.3604026379
1249,1410220.0841964735
1250,1405425.4599143716
1251,1458150.5898639283
1252,1570137.2428026516
1253,1686741.1591461005
1254,2024323.5131173239
1255,2277347.930139005
1256,2211230.976103357
1257,1989294.4488068118
1258,1779251.2188778915
1259,1626630.5008335756
1260,1523935.353862732
1261,1547611.107601205
1262,1555031.7721082694
1263,1706180.0792766977
1264,1898133.247081494
1265,2057015.448244927
1266,2219308.7242286108
1267,2098364.3343349523
1268,1866855.497879336
1269,1771178.314546933
1270,1573421.781697508
1271,1300023.0702424804
1272,1185915.2800145738
1273,1131715.981314313
1274,1105507.6274698374
1275,1162631.6361837345
1276,1211432.3668121826
1277,1359326.585461646
1278,1646494.604348576
1279,1909087.0373315653
1280,1993255.8246677597
1281,1975941.1516518863
1282,1939836.6598853432
1283,1886292.124177141
1284,1887821.284586107
1285,1990604.4853729436
