,Timestep,Line,Actual,Predicted
490,2198,47->72,219.82884,255.40208
491,2198,9->10,1000.0,1012.7038
492,2198,55->119,999.99994,1044.3584
493,2198,89->120,1000.0,1161.8945
494,2199,37->65,-677.8703,-698.6582
495,2199,49->68,47.960316,80.46375
496,2199,37->39,-1923.1368,-2212.934
497,2199,47->68,-166.37587,-233.28671
498,2199,25->47,-461.05743,-435.33148
499,2199,65->68,-90.49143,78.584
500,2199,83->25,1243.6038,1484.9606
501,2199,24->25,1864.5406,1722.3401
502,2199,47->73,-124.0129,-117.7326
503,2199,47->72,199.60031,253.0386
504,2199,9->10,1000.0,964.75653
505,2199,55->119,999.99994,1037.461
506,2199,89->120,1000.0,1149.5529
507,2200,37->65,-694.52997,-678.4034
508,2200,49->68,59.43337,37.686756
509,2200,37->39,-2031.3591,-1956.6898
510,2200,47->68,-208.05731,-162.51715
511,2200,25->47,-474.50665,-420.81598
512,2200,65->68,15.250737,-101.232124
513,2200,83->25,1305.3843,1408.4507
514,2200,24->25,1855.2885,1579.602
515,2200,47->73,-83.212456,-45.070164
516,2200,47->72,223.61487,288.49557
517,2200,9->10,1000.0,951.343
518,2200,55->119,999.99994,1013.1355
519,2200,89->120,1000.0,1066.6022
520,2201,37->65,-595.0242,-548.76404
521,2201,49->68,-55.654976,-35.97892
522,2201,37->39,-1291.8948,-1220.2786
523,2201,47->68,197.92027,80.805176
524,2201,25->47,-428.80096,-382.84396
525,2201,65->68,-570.5424,-416.81894
526,2201,83->25,1069.998,1281.4211
527,2201,24->25,1394.2744,1322.4282
528,2201,47->73,33.23682,10.677526
529,2201,47->72,280.18027,289.80197
530,2201,9->10,1000.0,1064.0908
531,2201,55->119,999.99994,980.01324
532,2201,89->120,1000.0,780.14374
533,2202,37->65,-392.14523,-356.80923
534,2202,49->68,-30.562798,-37.238804
535,2202,37->39,-605.69257,-543.81964
536,2202,47->68,195.27094,215.4158
537,2202,25->47,-374.11227,-345.41556
538,2202,65->68,-367.49152,-347.82602
539,2202,83->25,811.53296,850.49615
540,2202,24->25,1207.3052,1041.2004
541,2202,47->73,46.21965,76.5163
542,2202,47->72,239.01425,285.7164
543,2202,9->10,1000.0,1062.6968
544,2202,55->119,999.99994,991.42426
545,2202,89->120,1000.0,987.3267
546,2203,37->65,-212.46687,-233.73721
547,2203,49->68,-36.101612,-36.947655
548,2203,37->39,-76.52378,-190.58675
549,2203,47->68,220.6332,215.23773
550,2203,25->47,-257.15433,-290.89615
551,2203,65->68,-308.2945,-303.32544
552,2203,83->25,533.3139,628.8653
553,2203,24->25,638.27454,851.2344
554,2203,47->73,56.08762,58.288868
555,2203,47->72,223.1607,227.95311
556,2203,9->10,1000.0,999.86975
557,2203,55->119,999.99994,1001.7144
558,2203,89->120,1000.0,1010.20624
559,2204,37->65,-199.30438,-235.9162
560,2204,49->68,-31.934113,-53.911636
561,2204,37->39,-35.463905,-123.88076
562,2204,47->68,252.07181,220.80626
563,2204,25->47,-246.73654,-266.31906
564,2204,65->68,-282.9934,-402.17926
565,2204,83->25,413.55652,584.65594
566,2204,24->25,701.2558,910.85583
567,2204,47->73,48.72308,20.099644
568,2204,47->72,177.49521,159.67688
569,2204,9->10,1000.0,980.4239
570,2204,55->119,999.99994,1005.8695
571,2204,89->120,1000.0,837.16797
572,2205,37->65,-178.25261,-224.44586
573,2205,49->68,-20.248186,-47.924957
574,2205,37->39,7.001076,-87.7082
575,2205,47->68,269.1421,237.32478
576,2205,25->47,-239.65884,-257.7905
577,2205,65->68,-212.52885,-371.0391
578,2205,83->25,307.42874,496.3185
579,2205,24->25,669.72644,913.1211
580,2205,47->73,66.5039,26.327074
581,2205,47->72,171.10886,136.21698
582,2205,9->10,1000.0,978.5323
583,2205,55->119,999.99994,1005.8683
584,2205,89->120,1000.0,829.1298
585,2206,37->65,-138.7834,-176.35947
586,2206,49->68,3.019574,-26.866331
587,2206,37->39,61.566605,3.9783578
588,2206,47->68,250.63994,261.49097
589,2206,25->47,-233.5364,-244.77425
590,2206,65->68,-69.21274,-237.39836
591,2206,83->25,253.00009,352.94095
592,2206,24->25,402.573,795.7126
593,2206,47->73,133.03304,69.49057
594,2206,47->72,250.60507,146.92839
595,2206,9->10,1000.0,991.5385
596,2206,55->119,999.99994,1003.07684
597,2206,89->120,1000.0,904.2106
598,2207,37->65,-134.7083,-119.34433
599,2207,49->68,15.869424,8.869076
600,2207,37->39,36.511353,79.67405
601,2207,47->68,250.91183,281.85797
602,2207,25->47,-246.33215,-244.71812
603,2207,65->68,2.254067,-27.72488
604,2207,83->25,218.95564,189.9079
605,2207,24->25,411.58838,598.7288
606,2207,47->73,158.4159,143.26315
607,2207,47->72,267.76498,202.13991
608,2207,9->10,1000.0,1014.86584
609,2207,55->119,999.99994,994.43146
610,2207,89->120,1000.0,1006.392
611,2208,37->65,-129.53119,-123.25056
612,2208,49->68,25.444462,27.087868
613,2208,37->39,25.091589,37.4896
614,2208,47->68,252.29047,283.10138
615,2208,25->47,-253.5563,-262.92856
616,2208,65->68,56.67825,59.100716
617,2208,83->25,186.46997,123.33871
618,2208,24->25,408.97437,578.91437
619,2208,47->73,176.71825,179.36418
620,2208,47->72,279.538,231.36842
621,2208,9->10,1000.0,1036.9973
622,2208,55->119,999.99994,987.37067
623,2208,89->120,1000.0,988.33344
624,2209,37->65,-121.66435,-129.80286
625,2209,49->68,31.6609,30.62834
626,2209,37->39,33.018856,11.756893
627,2209,47->68,255.65216,279.79584
628,2209,25->47,-253.37982,-266.5832
629,2209,65->68,94.24994,71.38921
630,2209,83->25,150.57095,119.65269
631,2209,24->25,387.51944,561.67694
632,2209,47->73,187.53806,193.49318
633,2209,47->72,285.0716,239.2982
634,2209,9->10,1000.0,1022.77386
635,2209,55->119,999.99994,981.63495
636,2209,89->120,1000.0,895.0355
637,2210,37->65,-107.74189,-136.17256
638,2210,49->68,36.551792,31.91772
639,2210,37->39,65.47431,-13.159601
640,2210,47->68,262.28372,279.77185
641,2210,25->47,-244.61238,-268.16925
642,2210,65->68,127.72049,73.457344
643,2210,83->25,97.45969,118.1267
644,2210,24->25,334.79767,561.9196
645,2210,47->73,195.01352,194.88278
646,2210,47->72,285.89456,237.71878
647,2210,9->10,1000.0,1007.81696
648,2210,55->119,999.99994,979.1956
